"cardnum_amount_month_diff_avg_1","cardnum_amount_month_diff_sum_1","cardnum_amount_avg_1","cardnum_amount_avg_3","cardnum_amount_month_diff_sum_3","merchantnum_amount_month_diff_max_1","cardnum_amount_week_diff_sum_3","cardnum_amount_week_diff_sum_1","merchantnum_amount_sum_1","cardnum_amount_sum_1","cardnum_amount_max_1","merchantnum_amount_avg_1","merchantnum_amount_week_diff_avg_1","cardnum_amount_week_diff_sum_7","cardnum_amount_avg_7","cardnum_amount_sum_3","merchantnum_amount_max_3","cardnum_amount_month_diff_avg_7","merchantnum_amount_month_diff_sum_1","cardnum_amount_month_diff_sum_15","cardnum_amount_week_diff_sum_15","merchantnum_amount_month_diff_avg_3","cardnum_amount_week_diff_max_3","cardnum_amount_max_3","cardnum_amount_month_diff_avg_15","Fraud"
-48.3481885931559,-48.3481885931559,374,374,-48.3481885931559,-48.3481885931559,-45.9663916567026,-45.9663916567026,374,374,374,374,-45.9663916567026,-45.9663916567026,374,374,374,-48.3481885931559,-48.3481885931559,2205.6122547838,2089.00143246431,-48.3481885931559,-45.9663916567026,374,275.701531847975,0
-211.08682123068,-211.08682123068,148.95,148.95,-211.08682123068,-211.08682123068,-244.448453311394,-244.448453311394,148.95,148.95,148.95,148.95,-244.448453311394,-632.698774352092,81.95,148.95,148.95,-309.89299382473,-211.08682123068,-1652.37926172563,-1693.2846348011,-211.08682123068,-244.448453311394,148.95,-330.475852345127,0
-9.69916641878041,-9.69916641878041,413.95,400.7625,11.5100400605288,-9.69916641878041,20.8575539689026,38.520852248394,413.95,413.95,413.95,413.95,38.520852248394,20.8575539689026,400.7625,1603.05,413.95,2.87751001513219,-9.69916641878041,-135.735070870481,-209.342622816427,-9.69916641878041,209.081546688606,602.48,-15.0816745411646,0
-57.6491664187804,-57.6491664187804,366,410,12.1371972175833,-57.6491664187804,35.4045303729062,-15.3951485863968,366,366,366,366,-15.3951485863968,35.4045303729062,410,820,454,6.06859860879163,-57.6491664187804,12.1371972175833,35.4045303729062,6.06859860879163,50.799678959303,454,6.06859860879163,0
216.495504329004,216.495504329004,581.47,581.47,216.495504329004,216.495504329004,161.503608343297,161.503608343297,581.47,581.47,581.47,581.47,161.503608343297,161.503608343297,581.47,581.47,581.47,216.495504329004,216.495504329004,216.495504329004,161.503608343297,216.495504329004,161.503608343297,581.47,216.495504329004,0
-152.588520793418,-305.177041586836,246.875,412.681428571429,92.5253544460724,-193.713520793418,25.6751721719625,-346.182783313405,205.75,493.75,288,205.75,-214.216391656703,25.6751721719625,412.681428571429,2888.77,205.75,13.2179077780103,-193.713520793418,92.5253544460724,25.6751721719625,-291.113520793418,503.799678959303,907,13.2179077780103,0
-395.666020793418,-3165.32816634735,3.7975,45.5318181818182,-3893.2487287276,-363.513520793418,-3892.94462353476,-3195.22256832558,146.62,30.38,4.79,5.8648,-397.335521040697,-1717.68011903215,267.883076923077,500.85,114.4,-131.580443870341,-9839.96801983545,-2060.50929110786,-2054.57922287283,-390.94953172238,-90.6151485863969,290.78,-147.179235079132,0
340.025504329004,340.025504329004,705,705,340.025504329004,340.025504329004,294.639239648156,294.639239648156,705,705,705,705,294.639239648156,294.639239648156,705,705,705,340.025504329004,340.025504329004,340.025504329004,294.639239648156,340.025504329004,294.639239648156,705,340.025504329004,0
65.2525820800678,261.010328320271,503.75,442.8,21.5129104003392,391.502582080068,123.773673021345,335.13443337319,830,2015,830,830,410.033608343297,-218.775430819337,376.308333333333,2214,830,-49.1123184717234,391.502582080068,-639.698406501336,-609.186191171182,391.502582080068,410.033608343297,830,-91.385486643048,0
45.4725820800679,45.4725820800679,483.97,483.97,45.4725820800679,45.4725820800679,102.574851413603,102.574851413603,483.97,483.97,483.97,483.97,102.574851413603,6.45813871620362,403.673333333333,483.97,483.97,-34.8240845865988,45.4725820800679,464.446724054002,558.257817675507,45.4725820800679,102.574851413603,483.97,116.1116810135,0
42.5518114068441,42.5518114068441,464.9,464.9,42.5518114068441,42.5518114068441,54.5392396481556,54.5392396481556,464.9,464.9,464.9,464.9,54.5392396481556,-226.249864192527,285.255,464.9,464.9,-137.093188593156,42.5518114068441,-274.186377186312,-226.249864192527,42.5518114068441,54.5392396481556,464.9,-137.093188593156,0
-420.02916641878,-1260.08749925634,3.62,3.62,-1260.08749925634,-419.84916641878,-1115.42744325482,-1115.42744325482,58.82,10.86,3.62,3.67625,-371.752897751606,-2410.48002148314,88.71,10.86,32.71,-301.556180070537,-6719.56666270049,-4221.0830814425,-4361.62398821793,-406.824468606099,-371.809147751606,3.62,-301.50593438875,0
-140.218110541841,-140.218110541841,316.8,316.8,-140.218110541841,-140.218110541841,-76.5984533113945,-76.5984533113945,338,316.8,316.8,169,-224.398453311394,-76.5984533113945,316.8,316.8,316.8,-140.218110541841,-576.036221083683,-140.218110541841,-76.5984533113945,-330.528136558946,-76.5984533113945,316.8,-140.218110541841,0
-313.324495670996,-626.648991341991,51.65,217.238,-742.868339358327,-311.974495670996,-929.811605203485,-703.100642081394,53,103.3,53,53,-350.200321040697,-803.348294032981,299.42625,1086.19,53,-88.0744798268336,-311.974495670996,-2528.66000354613,-2520.03759128959,-311.974495670996,109.799678959303,513,-168.577333569742,0
628.630217327888,628.630217327888,995,246.784,-597.92891336056,628.630217327888,-813.133407857777,608.600896159317,995,995,995,995,608.600896159317,-813.133407857777,246.784,1233.92,995,-119.585782672112,628.630217327888,-569.196151208907,-665.194812293403,628.630217327888,608.600896159317,995,-63.2440168009897,0
